"cylinders","displacement","horsepower","weight","acceleration","year","origin","name","mpg"
6,198,95,2904,16,73,1,plymouth duster,23
6,163,133,3410,15.8,78,2,peugeot 604sl,16.2
4,89,71,1925,14,79,2,vw rabbit custom,31.9
4,120,88,2160,14.5,82,3,nissan stanza xe,36
8,302,139,3570,12.8,78,1,mercury monarch ghia,20.2
4,81,60,1760,16.1,81,3,honda civic 1300,35.1
8,302,130,3870,15,76,1,ford f108,13
8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,12
4,121,110,2600,12.8,77,2,bmw 320i,21.5
4,71,65,1836,21,74,3,toyota corolla 1200,32
4,86,65,2110,17.9,80,3,mazda glc,46.6
4,113,95,2372,15,70,3,toyota corona mark ii,24
4,98,79,2255,17.7,76,1,dodge colt,26
6,250,98,3525,19,77,1,ford granada,18.5
8,318,150,4498,14.5,75,1,plymouth grand fury,16
6,173,110,2725,12.6,81,1,chevrolet citation,23.5
6,155,107,2472,14,73,1,mercury capri v6,21
6,200,85,2990,18.2,79,1,mercury zephyr 6,19.8
8,302,140,4141,14,74,1,ford gran torino,16
6,156,122,2807,13.5,73,3,toyota mark ii,20
4,98,66,1800,14.4,78,1,ford fiesta,36.1
8,302,130,4295,14.9,77,1,mercury cougar brougham,15
8,400,175,4385,12,72,1,pontiac catalina,14
4,151,90,2670,16,79,1,buick skylark limited,28.4
4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),23
8,318,150,3940,13.2,76,1,plymouth volare premier v8,13
4,110,87,2672,17.5,70,2,peugeot 504,25
8,350,145,3988,13,73,1,chevrolet malibu,13
8,318,150,4237,14.5,73,1,plymouth fury gran sedan,14
4,97,88,2130,14.5,70,3,datsun pl510,27
4,134,95,2560,14.2,78,3,toyota corona,27.5
8,350,145,4082,13,73,1,chevrolet monte carlo s,15
4,98,80,1915,14.4,79,1,dodge colt hatchback custom,35.7
6,199,90,2648,15,70,1,amc gremlin,21
4,122,96,2300,15.5,77,1,plymouth arrow gs,25.5
4,97,67,2065,17.8,81,3,subaru,32.3
8,351,149,4335,14.5,77,1,ford thunderbird,16
8,304,150,3892,12.5,72,1,amc matador (sw),15
4,90,48,2335,23.7,80,2,vw dasher (diesel),43.4
4,72,69,1613,18,71,3,datsun 1200,35
8,302,140,4638,16,74,1,ford gran torino (sw),14
6,232,90,3265,18.2,79,1,amc concord dl 6,20.2
4,107,75,2205,14.5,82,3,honda accord,36
4,107,90,2430,14.5,70,2,audi 100 ls,24
4,97,75,2155,16.4,76,3,toyota corolla,28
6,198,95,2833,15.5,70,1,plymouth duster,22
4,79,67,2000,16,74,2,fiat x1.9,31
4,140,88,2890,17.3,79,1,ford fairmont 4,22.3
4,98,68,2135,16.6,78,3,honda accord lx,29.5
8,305,140,4215,13,76,1,chevrolet chevelle malibu classic,17.5
8,400,180,4220,11.1,77,1,pontiac grand prix lj,16
8,318,150,4077,14,72,1,plymouth satellite custom (sw),14
4,97,75,2265,18.2,77,3,toyota corolla liftback,26
8,260,90,3420,22.2,79,1,oldsmobile cutlass salon brougham,23.9
4,121,112,2868,15.5,73,2,volvo 144ea,19
6,225,105,3613,16.5,74,1,plymouth satellite sebring,18
4,98,76,2144,14.7,80,2,vw rabbit,41.5
4,98,68,2045,18.5,77,3,honda accord cvcc,31.5
6,258,110,3730,19,75,1,amc matador,15
8,304,193,4732,18.5,70,1,hi 1200d,9
4,98,65,2045,16.2,81,1,ford escort 4w,34.4
8,307,200,4376,15,70,1,chevy c20,10
6,145,76,3160,19.6,81,2,volvo diesel,30.7
4,116,75,2158,15.5,73,2,opel manta,24
4,90,75,2108,15.5,74,2,fiat 128,24
4,151,90,3003,20.1,80,1,amc concord,24.3
8,455,225,3086,10,70,1,buick estate wagon (sw),14
4,140,88,2720,15.4,78,1,ford fairmont (man),25.1
4,140,72,2401,19.5,73,1,chevrolet vega,21
8,305,145,3425,13.2,78,1,chevrolet monte carlo landau,19.2
6,200,?,2875,17,74,1,ford maverick,21
6,250,78,3574,21,76,1,ford granada ghia,18
4,108,94,2379,16.5,73,3,datsun 610,22
6,200,88,3060,17.1,81,1,ford granada gl,20.2
5,121,67,2950,19.9,80,2,audi 5000s (diesel),36.4
8,360,170,4654,13,73,1,plymouth custom suburb,13
4,79,67,1963,15.5,74,2,volkswagen dasher,26
6,156,108,2930,15.5,76,3,toyota mark ii,19
8,350,145,4440,14,75,1,chevrolet bel air,15
4,119,97,2300,14.7,78,3,datsun 510,27.2
8,351,138,3955,13.2,79,1,mercury grand marquis,16.5
4,97,67,1985,16.4,77,3,subaru dl,30
4,91,68,2025,18.2,82,3,mazda glc custom l,37
5,183,77,3530,20.1,79,2,mercedes benz 300d,25.4
8,318,140,4080,13.7,78,1,dodge magnum xe,17.5
6,200,95,3155,18.2,78,1,chevrolet malibu,20.5
4,156,92,2620,14.4,81,1,dodge aries wagon (sw),25.8
4,140,90,2408,19.5,72,1,chevrolet vega,20
6,250,105,3459,16,75,1,chevrolet nova,18
4,97,92,2288,17,72,3,datsun 510 (sw),28
8,318,210,4382,13.5,70,1,dodge d200,11
8,318,150,3436,11,70,1,plymouth satellite,18
8,318,135,3830,15.2,79,1,dodge st. regis,18.2
6,250,100,3282,15,71,1,pontiac firebird,19
4,111,80,2155,14.8,77,1,buick opel isuzu deluxe,30
6,231,105,3380,15.8,78,1,buick century special,20.6
8,318,150,3777,12.5,73,1,dodge coronet custom,15
6,250,72,3432,21,75,1,mercury monarch,15
4,121,76,2511,18,72,2,volkswagen 411 (sw),22
8,351,148,4657,13.5,75,1,ford ltd,14
