"cylinders","displacement","horsepower","weight","acceleration","year","origin","name","mpg"
4,97,67,2145,18,80,3,subaru dl,33.8
6,168,116,2900,12.6,81,3,toyota cressida,25.4
6,258,120,3410,15.1,78,1,amc concord d/l,18.1
4,113,95,2228,14,71,3,toyota corona,25
4,89,62,1845,15.3,80,2,vokswagen rabbit,29.8
4,121,110,2660,14,73,2,saab 99le,24
4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,26
4,151,85,2855,17.6,78,1,oldsmobile starfire sx,23.8
8,400,170,4746,12,71,1,ford country squire (sw),13
4,91,53,1795,17.5,75,3,honda civic cvcc,33
8,305,145,3880,12.5,77,1,chevrolet caprice classic,17.5
4,121,115,2795,15.7,78,2,saab 99gle,21.6
4,79,58,1825,18.6,77,2,renault 5 gtl,36
8,318,140,3735,13.2,78,1,dodge diplomat,19.4
6,199,97,2774,15.5,70,1,amc hornet,18
4,121,80,2670,15,79,1,amc spirit dl,27.4
4,144,96,2665,13.9,82,3,toyota celica gt,32
8,307,130,3504,12,70,1,chevrolet chevelle malibu,18
3,70,100,2420,12.5,80,3,mazda rx-7 gs,23.7
8,400,175,4464,11.5,71,1,pontiac catalina brougham,14
8,262,110,3221,13.5,75,1,chevrolet monza 2+2,20
8,267,125,3605,15,79,1,chevrolet malibu classic (sw),19.2
4,156,105,2800,14.4,80,1,dodge colt,27.9
6,250,88,3302,15.5,71,1,ford torino 500,19
4,122,86,2220,14,71,1,mercury capri 2000,23
4,140,75,2542,17,74,1,chevrolet vega,25
4,140,88,2870,18.1,80,1,ford fairmont,26.4
6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,17
4,85,70,2070,18.6,78,3,datsun b210 gx,39.4
8,260,110,4060,19,77,1,oldsmobile cutlass supreme,17
8,400,175,5140,12,71,1,pontiac safari (sw),13
4,88,76,2065,14.5,71,2,fiat 124b,30
6,225,90,3381,18.7,80,1,dodge aspen,19.1
8,350,155,4360,14.9,79,1,buick estate wagon (sw),16.9
4,108,75,2265,15.2,80,3,toyota corolla,32.2
6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),18
4,112,85,2575,16.2,82,1,pontiac j2000 se hatchback,31
8,302,139,3205,11.2,78,1,ford futura,18.1
4,105,63,2215,14.9,81,1,plymouth horizon 4,34.7
4,115,95,2694,15,75,2,audi 100ls,23
4,120,74,2635,18.3,81,3,mazda 626,31.6
4,98,63,2051,17,77,1,chevrolet chevette,30.5
6,168,132,2910,11.4,80,3,datsun 280-zx,32.7
4,76,52,1649,16.5,74,3,toyota corona,31
8,350,170,4165,11.4,77,1,chevrolet monte carlo landau,15.5
6,225,100,3233,15.4,76,1,plymouth valiant,22
8,454,220,4354,9,70,1,chevrolet impala,14
8,350,180,3664,11,73,1,oldsmobile omega,11
4,97,78,1940,14.5,77,2,volkswagen rabbit custom,29
6,181,110,2945,16.4,82,1,buick century limited,25
4,112,88,2640,18.6,82,1,chevrolet cavalier wagon,27
4,86,65,2019,16.4,80,3,datsun 310,37.2
6,231,110,3039,15,75,1,buick skyhawk,21
4,107,86,2464,15.5,76,2,fiat 131,28
4,71,65,1773,19,71,3,toyota corolla 1200,31
8,400,170,4668,11.5,75,1,pontiac catalina,16
6,231,105,3535,19.2,78,1,pontiac phoenix lj,19.2
8,400,150,4464,12,73,1,chevrolet caprice classic,13
4,120,75,2542,17.5,80,3,mazda 626,31.3
4,140,89,2755,15.8,77,1,ford mustang ii 2+2,25.5
8,400,167,4906,12.5,73,1,ford country,12
4,135,84,2370,13,82,1,dodge charger 2.2,36
4,120,97,2489,15,74,3,honda civic,24
6,232,100,2945,16,73,1,amc hornet,18
4,97,78,2300,14.5,74,2,opel manta,26
8,318,150,4457,13.5,74,1,dodge coronet custom (sw),14
4,120,79,2625,18.6,82,1,ford ranger,28
4,151,90,2678,16.5,80,1,chevrolet citation,28
6,258,95,3193,17.8,76,1,amc pacer d/l,17.5
8,304,150,3433,12,70,1,amc rebel sst,16
8,350,145,4055,12,76,1,chevy c10,13
4,151,?,3035,20.5,82,1,amc concord dl,23
8,351,158,4363,13,73,1,ford ltd,13
4,121,113,2234,12.5,70,2,bmw 2002,26
4,134,96,2702,13.5,75,3,toyota corona,24
8,302,140,4294,16,72,1,ford gran torino (sw),13
4,85,?,1835,17.3,80,2,renault lecar deluxe,40.9
8,400,150,3761,9.5,70,1,chevrolet monte carlo,15
8,302,129,3725,13.4,79,1,ford ltd landau,17.6
4,140,72,2408,19,71,1,chevrolet vega (sw),22
4,120,88,3270,21.9,76,2,peugeot 504,19
6,250,105,3353,14.5,76,1,chevrolet nova,22
6,250,100,3278,18,73,1,chevrolet nova custom,16
4,122,88,2500,15.1,80,2,triumph tr7 coupe,35
6,232,90,3085,17.6,76,1,amc hornet,22.5
4,85,65,2110,19.2,80,3,datsun 210,40.8
4,91,69,2130,14.7,79,2,fiat strada custom,37.3
6,231,115,3245,15.4,79,1,pontiac lemans v6,21.5
8,440,215,4735,11,73,1,chrysler new yorker brougham,13
4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),27
4,105,74,2190,14.2,81,2,volkswagen jetta,33
8,383,170,3563,10,70,1,dodge challenger se,15
6,163,125,3140,13.6,78,2,volvo 264gl,17
4,97,88,2279,19,73,3,toyota carina,20
8,304,150,3672,11.5,72,1,amc ambassador sst,17
4,98,65,2380,20.7,81,1,ford escort 2h,29.9
6,200,85,3070,16.7,78,1,mercury zephyr,20.8
6,225,105,3121,16.5,73,1,plymouth valiant,18
4,120,87,2979,19.5,72,2,peugeot 504 (sw),21
4,122,80,2451,16.5,74,1,ford pinto,26
4,78,52,1985,19.4,78,3,mazda glc deluxe,32.8
4,97,78,2190,14.1,77,2,volkswagen dasher,30.5
3,70,97,2330,13.5,72,3,mazda rx2 coupe,19
4,156,92,2585,14.5,82,1,chrysler lebaron medallion,26
4,151,90,2735,18,82,1,pontiac phoenix,27
8,360,150,3940,13,79,1,chrysler lebaron town @ country (sw),18.5
8,440,215,4312,8.5,70,1,plymouth fury iii,14
6,232,100,2914,16,75,1,amc gremlin,20
4,151,90,2556,13.2,79,1,pontiac phoenix,33.5
8,302,140,3449,10.5,70,1,ford torino,17
4,98,90,2265,15.5,73,2,fiat 124 sport coupe,26
6,232,100,2901,16,74,1,amc hornet,19
8,351,153,4154,13.5,71,1,ford galaxie 500,14
4,108,75,2350,16.8,81,3,toyota corolla,32.4
6,231,110,3415,15.8,81,1,buick century,22.4
4,89,62,2050,17.3,81,3,toyota tercel,37.7
8,350,155,4502,13.5,72,1,buick lesabre custom,13
4,85,52,2035,22.2,76,1,chevrolet chevette,29
4,121,115,2671,13.5,75,2,saab 99le,25
4,86,64,1875,16.4,81,1,plymouth champ,39
8,350,180,4499,12.5,73,1,oldsmobile vista cruiser,12
4,108,70,2245,16.9,82,3,toyota corolla,34
8,302,137,4042,14.5,73,1,ford gran torino,14
4,79,70,2074,19.5,71,2,peugeot 304,30
8,350,105,3725,19,81,1,oldsmobile cutlass ls,26.6
4,119,100,2615,14.8,81,3,datsun 200sx,32.9
4,140,86,2790,15.6,82,1,ford mustang gl,27
4,122,85,2310,18.5,73,1,ford pinto,19
4,96,69,2189,18,72,2,renault 12 (sw),26
